Kommun,Fastighetsbeteckning,Adress,Byggår/Värdeår,Fastighetskategori,Tomträtt,Kontor,Handel,Industri/Lager,Utbilning/Vård,Hotell,Bostad,Övrigt,Totalt,"Taxeringsvärde, Mkr"
Stockholm,Havsfrun 26,Artillerigatan 42,1929,Kontor,,3267,,252,,,,,3519,113
Stockholm,Holar 3,Skalholtsgatan 10,1985,Övrigt,Ja,6135,,1072,,,,,7207,74
Stockholm,Islandet 4,Adolf Fredriks Kyrkogata 13,1908,Kontor,,1845,245,125,,,,,2215,73
Stockholm,Järnplåten 23,Kungsgatan 37,1937,Kontor,,5225,440,171,148,,,2049,8033,484
Stockholm,Katthavet 8,Näckströmsgatan 8,1863,Övrigt,,,,,,8022,,,8022,313
Stockholm,Kilaberg 1,Kilabergsvägen,1975,Kontor,Ja,7893,,5009,,,,,12902,
Stockholm,Kungsbacken 8,Drottninggatan 108,1929,Kontor,,1787,547,67,,,,25,2426,74
Stockholm,Kvasten 8,Mäster Samuelsgatan 10,1929,Kontor,,1336,614,81,,,,10,2041,219
Stockholm,Lindansaren 23,"Flaggstång, Holländargatan 22",1929,Kontor,,7120,863,603,,,293,,8879,267
Stockholm,Luftspringaren 10,Saltmätargatan 10,1931,Kontor,,498,,18,,,,,516,
Stockholm,Luftspringaren 16,Saltmätargatan 19 A,1929,Kontor,,615,372,80,,,613,794,2474,61
Stockholm,Lärftet 2,Brommaplan 407,1941,Bostad,Ja,204,530,143,,,895,,1772,33
Stockholm,Magneten 32,Voltavägen 13,1982,Kontor,,6539,450,3118,,,,,10107,84
Stockholm,Meteorologen 4,Finn Malmgrens Väg 9,1991,Bostad,Ja,,399,,,,725,,1124,24
Stockholm,Meteorologen 5,Finn Malmgrens Väg 11,1991,Bostad,Ja,,1090,74,,,1235,,2399,48
Stockholm,Murmästaren 3,Garvargatan 10,1926,Övrigt,,,,,16423,,,,16423,
Stockholm,Murmästaren 7,Hantverkargatan 31,1929,Kontor,,2448,462,84,,,,83,3077,105
Stockholm,Murmästaren 9,Hantverkargatan 21,1929,Bostad,,1419,756,6,,,2444,,4625,135
Stockholm,Prästgårdsängen 3,Götalandsvägen 218,1986,Kontor,Ja,5405,847,39,,,,,6291,65
Stockholm,Silket 2,Brommabågen 4,1941,Handel,Ja,174,602,94,,,555,7,1432,28
Stockholm,Singeln 9,Sorterargatan 8,1970,Kontor,Ja,5139,,103,,,,,5242,32
Stockholm,Skeppshandeln 1,Hammarby Allé 45,2013,Hotell,,2143,3033,210,,8550,,,13936,439
Stockholm,Snöflingan 3,Drottningsholmsvägen 59,2009,Hotell,,,,,,22000,,,22000,489
Stockholm,Spelbomskan 14,"Gyldéngatan 6, Sandåsgatan 2",1939,Övrigt,,,,147,2553,,,,2700,
Stockholm,Spårvagnen 4,Birger Jarlsgatan 57,1995,Kontor,,18933,3084,962,,,,191,23170,999
Stockholm,Tre Vapen 7,Valhallavägen 185,2004,Övrigt,,2390,,333,9018,,,,11741,
Stockholm,Tråden 1,Brommaplan 418–420,1941,Handel,Ja,555,,41,,,537,,1133,22
Stockholm,Varmvattnet 3,Esbogatan 8,1977,Handel,Ja,,15000,,,,,18009,33009,215
Stockholm,Vattenkraften 1,Solkraftsvägen 13,1989,Kontor,Ja,6576,734,25,3689,,,4,11028,46
Stockholm,Vilunda 6:48,Hotellvägen 1,1986,Hotell,,,,,,6955,,,6955,63
Stockholm,Årstaäng 4,Fredsborgsgatan 24,1966,Kontor,Ja,1547,,84,4182,,,3,5816,57
Stockholm,Årstaäng 6,Fredsborgsgatan 24,2015,Kontor,Ja,16388,815,849,,,,7,18059,460
Sundbyberg,Bivacken 2,Kavallerivägen 24,1990,Övrigt,,4017,499,95,70,,,2,4683,42
Sundbyberg,Bollspelaren 1,Lötsjövägen 10,1993,Övrigt,,,,4028,5621,,,,9649,
Sundbyberg,Kartan 1,Lötsjövägen 2,1971,Övrigt,,11349,,1160,,2414,5996,2,20921,149
Sundbyberg,Kasernen 1,Kasernvägen 1,1940,Övrigt,,,,,1546,,,4,1550,
Sundbyberg,Kasernen 2,Kasernvägen 5,1940,Övrigt,,,,,1594,,,,1594,
Sundbyberg,Kasernen 3,Kasernvägen 3,1940,Övrigt,,,,,1551,,,,1551,
Sundbyberg,Kvartermästaren 1,Rissne torg 1,1984,Handel,,470,1657,87,1916,,,6,4136,
Sundbyberg,Maden 4,Madenvägen 7,1988,Handel,Ja,4314,6357,,,,,466,11137,110
Sundbyberg,Muraren 9,Järnvägsgatan 30,2002,Bostad,,4037,,19,,,3166,1069,8291,142
Sundbyberg,Terränglöparen 11,Hallonbergsplan 1,1984,Kontor,,7475,5845,2738,3810,,,4871,24739,155
Södertälje,Grävmaskinen 23,Morabergsvägen 1,1973,Handel,,,2391,,,,,,2391,4
Södertälje,Yxan 8,Täppgatan 15,1975,Hotell,,,,,,14115,,,14115,102
Uppsala,Berthåga 53:1,Naturstensvägen 101,2007,Bostad,,,,,,,3814,,3814,60
Uppsala,Danmarks-Säby 11:1,Kumlagatan 12,2012,Handel,,,20727,,,,,712,21439,191
Uppsala,Dragarbrunn 16:4,Dragarbrunns torg 18,1962,Hotell,,,680,51,,5259,,,5990,111
Uppsala,Kvarngärdet 3:2,Gamla Uppsalagatan 50,1983,Hotell,,,,,,7518,,,7518,54
Uppsala,Årsta 68:1,Fyrislundsgatan 75,1976,Handel,,,7558,,,,,,7558,61
Uppsala,Årsta 94:1,Stålgatan 101,1988,Bostad,,,,,,,5274,39,5313,83
Uppsala,Årsta 95:1,Stålgatan 35,2005,Bostad,,,,,,,4125,8,4133,62
Örebro,Stjärnregnet 1,Otto E Andersens gata 1,1979,Handel,Ja,,4341,,,,,,4341,30
Ale,Nödinge 38:14,Ale Torg 10,2007,Handel,,3920,10032,30,,,,,13982,94
Ale,Surte 1:245,Göteborgsvägen 64 B,1967,Bostad,,215,337,,,,1216,90,1858,17
Ale,Surte 1:293,Göteborgsvägen 93 A,1946,Bostad,,,,,424,,356,,780,
Ale,Surte 1:294,Brattåsstigen 6,1992,Bostad,,,,,455,,330,,785,
Ale,Surte 4:119,Göteborgsvägen 64,1987,Handel,,808,1440,277,,,462,114,3101,19
Alingsås,Bagaren 14,Hantverksgatan 2,1991,Bostad,,,,,,,556,,556,8
Alingsås,Bagaren 2,Hantverksgatan 4,1992,Bostad,,,,,,,424,9,433,6
Alingsås,Björkhagen 1,Björkhagegatan 2 A,2008,Bostad,,,,,,,3212,,3212,60
Alingsås,Bolltorp 4:13,Bolltorp,2003,Bostad,,,,,,,14166,,14166,249
Alingsås,Dryckeshornet 1,Bankgatan 1,1911,Hotell,,,219,,,5362,,,5581,36
Alingsås,Safiren 1,Safirgatan 6 A,1993,Bostad,,,,,,,4342,,4342,64
Alingsås,Skyffeln 2,Aleforsvägen 9,1973,Kontor,,210,,5716,,,,,5926,18
Alingsås,Smedjan 3,Malmgatan 6 A,1953,Handel,,,2807,,,,,15,2822,7
Borås,Bulten 1,Verkstadsgatan 3,1901,Handel,,,1815,,,,,,1815,6
Borås,Plutonen 1,Pickesjövägen 2,2011,Handel,,40,12318,,,,,762,13120,66
Borås,Vattnet 4,Elementgatan 8,2018,Handel,,,7716,,,,,,7716,41
Borås,Vindtyget 6,Ödegärdsgatan 2 A,2012,Handel,,,3350,,,,,,3350,21
Göteborg,Askim 243:20,Askims Torg,1972,Kontor,,1803,638,553,1385,,,,4379,29
Göteborg,Backa 169:2,Södra Deltavägen 3 B,1994,Handel,,,3615,,,,,,3615,47
Göteborg,Backa 169:3,Södra Deltavägen 3 A,2006,Handel,,,1975,,,,,,1975,45
Göteborg,Backa 171:3,Backavägen 1,1955,Handel,,,4334,,,,,,4334,53
Göteborg,Backa 171:4,Backavägen 3,1990,Kontor,,4932,2930,308,,,,,8170,108
Göteborg,Backa 21:14,Exportgatan 47 B,1989,Övrigt,,608,,1784,,,,108,2500,13
Göteborg,Bagaregården 5:8,Kungälvsgatan 6 A,1929,Bostad,,,,,,,584,,584,16
Göteborg,Bagaregården 5:9,Kungälvsgatan 6 A,1929,Bostad,,,,,,,588,,588,16
Göteborg,Bergsjön 34:1,Atmosfärgatan 1,1970,Bostad,,115,,281,,,22336,,22732,204
Göteborg,Bergsjön 9:6,Kosmosgatan 1,1967,Bostad,,77,162,399,,,43993,3482,48113,397
Göteborg,Biskopsgården 7:1,Långströmsgatan 26,1967,Bostad,Ja,,,388,,,15278,,15666,136
Göteborg,Biskopsgården 7:2,Långströmsgatan 14 C,1967,Bostad,Ja,145,,153,,,13855,,14153,126
Göteborg,Biskopsgården 7:3,Långströmsgatan 10 A,1968,Bostad,Ja,,,161,,,13988,,14149,122
Göteborg,Brämaregården 72:4,Hisingsgatan 28,1959,Kontor,Ja,2495,889,42,,,,20,3446,29
Göteborg,Bur 134:1,Oxholmsgatan 28,1989,Bostad,Ja,,,,,,,302,302,
Göteborg,Bö 93:2,Sofierogatan 1,1940,Kontor,,8304,,472,,,,316,9092,119
Göteborg,Gamlestaden 25:11,Marieholmsgatan 4,1990,Kontor,Ja,3809,,178,,,,70,4057,28
Göteborg,Gamlestaden 26:13,Vassgatan 3,1988,Kontor,Ja,3803,,6363,,,,3991,14157,64
Göteborg,Gullbergsvass 11:2,Gullbergs Strandgata 40,1977,Övrigt,Ja,,,5865,,,,,5865,27
Göteborg,Gårda 15:1,Fabriksgatan 7,1929,Kontor,,7144,207,487,,,,,7838,194
Göteborg,Gårda 15:1  (15:12),Drakegatan 2,1937,Bostad,,1583,87,,,,6717,,8387,237
Göteborg,Gårda 70:9,Kobbarnasväg 17,1985,Bostad,,,,,,,1519,,1519,39
Göteborg,Göteborg Tuve 116:6,Grimbodalen 6,2008,Handel,,,3213,,,,,,3213,22
Göteborg,Heden 24:11,Engelbrektsgatan 73,1964,Hotell,Ja,,,,,17875,,,17875,305
Göteborg,Heden 47:3,Parkgatan 49,2015,Kontor,,5788,472,50,,,,1231,7541,271
Göteborg,Högsbo 1:1,J A Wettergrensgata 7,1967,Kontor,,11165,,3527,,,,124,14816,66
Göteborg,Högsbo 11:10,Victor Hasselbladsgata 8,1982,Kontor,,4050,,,,,,,4050,20
Göteborg,Högsbo 23:4,Gustaf Werners Gata 1,2008,Handel,,1698,31250,274,,,,94,33316,451
Göteborg,Högsbo 36:2,Norra Långebergsgatan 2,1974,Handel,,,5597,,,,,456,6053,46
Göteborg,Högsbo 36:8,Hulda Mellgrensgata 11,1992,Handel,,2448,,,,,,,2448,33
Göteborg,Högsbo 38:17,Sisjö Kullegata 5,1986,Kontor,,1680,,,,,,26,1706,15
Göteborg,Högsbo 38:20,Sisjö Kullegata 6,1989,Kontor,,2010,,780,,,,,2790,22
Göteborg,Högsbo 38:8,Sisjö Kullegata 8,1990,Kontor,,5409,,1340,,,,,6749,62
Göteborg,Inom Vallgraven 1:13,Drottninggatan 62,1986,Hotell,,,,,,26656,,,26656,460
Göteborg,Inom Vallgraven 14:1,Södra Hamngatan 2,1907,Övrigt,,,1732,,,3129,,,4861,114
Göteborg,Inom Vallgraven 15:3,Drottninggatan 30,1980,Kontor,,3847,379,169,,,,,4395,124
Göteborg,Inom Vallgraven 16:21,Drottninggatan 10,1882,Kontor,,2370,352,86,,,,200,3008,91
Göteborg,Inom Vallgraven 19:4,Drottninggatan 31,1929,Kontor,,859,236,,,,,,1095,30
Göteborg,Inom Vallgraven 19:6,Drottninggatan 35,1929,Kontor,,525,510,,,,,,1035,25
Göteborg,Inom Vallgraven 2:2,Drottninggatan 69,1853,Kontor,,1038,254,,,,,,1292,42
Göteborg,Inom Vallgraven 20:8,Östra Hamngatan 37,1993,Kontor,,587,514,,,,,6,1107,40
Göteborg,Inom Vallgraven 22:6,Kungsgatan 41,1869,Kontor,,405,468,,,,,,873,43
Göteborg,Inom Vallgraven 33:7,Magasinsgatan 26,1929,Kontor,,2189,926,21,,,258,387,3781,82
Göteborg,Inom Vallgraven 36:4,Kaserntorget 11 A,1912,Kontor,,3154,,10,9494,,,3840,16498,
Göteborg,Inom Vallgraven 4:2,Lilla Kungsgatan 1,1929,Kontor,,2068,630,62,,,,1001,3761,98
Göteborg,Inom Vallgraven 4:4,Lilla Kungsgatan 3,1929,Kontor,,5819,,,,,,,5819,105
Göteborg,Inom Vallgraven 4:5,Bastionsplatsen 2,2019,Kontor,,2260,770,55,,,,500,3585,
Göteborg,Inom Vallgraven 54:10,Lilla Torget 3,1929,Kontor,,700,175,,,,,,875,16
Göteborg,Inom Vallgraven 54:9,Lilla Torget 4,1929,Kontor,,757,,8,,,,,765,18
Göteborg,Inom Vallgraven 58:6,Kungsgatan 34,1989,Kontor,,2816,328,10,,,,1374,4528,159
Göteborg,Inom Vallgraven 8:1,Kyrkogatan 29–31,1850,Handel,,1526,1668,,,,,5,3199,137
Göteborg,Inom Vallgraven 8:14,Kungsgatan 54,1929,Kontor,,1318,1606,,,,,,2924,116
Göteborg,Inom Vallgraven 8:19,Kungsgatan 56,1962,Kontor,,801,509,,,,,,1310,66
Göteborg,Inom Vallgraven 8:20,Kyrkogatan 33,1940,Handel,,,803,,,,,,803,21
Göteborg,Järnbrott 145:6,Svängrumsgatan 45,1963,Bostad,Ja,,,,,,3899,8,3907,82
Göteborg,Kobbegården 6:169,Datavägen 18,1980,Kontor,,,,1608,,,,,1608,7
Göteborg,Kobbegården 6:170,Datavägen 16,1985,Kontor,,,,1574,,,,,1574,8
Göteborg,Kobbegården 6:259,Datavägen 41,,Kontor,,,,,,,,,,3
Göteborg,Kobbegården 6:261,Datavägen 37,1976/1981,Kontor,,2896,386,5670,,,,,8952,52
Göteborg,Kobbegården 6:56,Datavägen 12 B,1981,Kontor,,1530,,1353,,,,,2883,16
Göteborg,Kobbegården 6:725,Datavägen 12 A,1988,Kontor,,3268,,,,,,,3268,36
Göteborg,Kvillebäcken 16:10,Färgfabriksgatan 7,1965,Övrigt,,100,1876,527,,,,985,3488,8
Göteborg,Kvillebäcken 16:11,Gamla Björlandavägen 2,1966,Kontor,,3152,854,217,,,,4316,8539,43
Göteborg,Kvillebäcken 61:5,Ångpannegatan 1,1945,Kontor,,,,1505,,,,,1505,2
Göteborg,Kvillebäcken 61:8,Turbingatan 1,1901,Kontor,,,,2059,,,,,2059,12
Göteborg,Kålltorp 36:7,Solrosgatan 13 A,1935,Bostad,,,,,,,769,105,874,20
Göteborg,Kålltorp 39:1,Råstensgatan 2 A,1936,Bostad,,,,,,,791,,791,20
Göteborg,Kärra 32:22,Tagenevägen 26,1980,Handel,Ja,,2800,,,,,,2800,20
Göteborg,Kärra 73:1–2,Tagenevägen 17 A,1971,Handel,,192,,4160,,,,220,4572,28
Göteborg,Kärra 95:3,Orrekulla Industrigata 14,1990,Handel,,,7080,,,,,129,7209,56
Göteborg,Lindholmen 29:1,Theres Svenssons Gata 15,2002,Kontor,,11297,475,86,,,,31,11889,301
Göteborg,Lindholmen 39:2,Lindholmspiren 4,2013,Hotell,,,,,,13299,,,13299,299
Göteborg,Lorensberg 45:20,Kungsportsavenyen 6–8,1971,Hotell,,,1357,,,2305,,,3662,136
Göteborg,Lorensberg 46:1,Kungsportsavenyen 3,1929,Handel,,737,1831,42,,,,316,2926,66
Göteborg,Lorensberg 46:10,Kungsportsavenyen 17,1944,Kontor,,1053,572,,,,,,1625,48
Göteborg,Lorensberg 46:11,Teatergatan 18,1929,Handel,,,,,,,,1203,1203,23
Göteborg,Lorensberg 46:12,Kungsportsavenyen 11,1929,Handel,,,2394,,,,,,2394,66
Göteborg,Lorensberg 46:5,Kungsportsavenyen 7,1929,Handel,,201,766,,,,,,967,27
Göteborg,Lorensberg 46:6,Kungsportsavenyen 9,1950,Handel,,,,,,,,1176,1176,37
Göteborg,Lorensberg 49:2,Storgatan 33,1983,Hotell,,,,,,1500,,,1500,23
Göteborg,Lorensberg 55:15,Södra Vägen 23,1969,Kontor,,2700,8690,336,,13158,,,24884,851
Göteborg,Lorensberg 55:4,Södravägen 27,1968,Kontor,,,120,,3308,,,,3428,
Göteborg,Lorensberg 55:8,Lorensbergsgatan 16,1968,Kontor,,,,,,,,,,24
Göteborg,Lunden 45:2,Platågatan 3 A,1986,Bostad,,,,,,,625,,625,16
Göteborg,Masthugget 11:13,Andra Långgatan 29,1970,Kontor,,17632,2840,945,2046,,7706,1445,32614,546
Göteborg,Nordstaden 10:15,Köpmansgatan 27,1929,Kontor,,1031,590,36,,,,812,2469,99
Göteborg,Nordstaden 10:16 & 10:17,Köpmansgatan 29,2008,Hotell,,,113,,,7753,,,7866,193
Göteborg,Olskroken 10:5,Olskroksgatan 30,1985,Kontor,,1920,,81,2532,,,,4533,
Göteborg,Olskroken 25:11,Falkgatan 7,1932,Övrigt,,,,,1969,,,292,2261,
Göteborg,Rud 8:10,Munspelsgatan 10,1962,Bostad,,255,,614,,,43673,988,45530,729
Göteborg,Rud 8:12,Lergöksgatan 2 AA,2019,Övrigt,,,2790,,,,,,2790,62
Göteborg,Rud 8:22,Munspelsgatan 18,2019,Övrigt,,,,,,,,,,9
Göteborg,Sannegården 25:1,Säterigatan 20,1971,Kontor,,3482,,192,,,,,3674,24
